#v_1_1B	v_1_1A	v_2_1B	v_2_1A	p_1B	p_1A	p_2B	p_2A	p_B	p_A	delta P	E_B	E_A	Delta E
0.69	0.08	0.00	0.67	169.87	20.53	0.00	139.72	169.87	160.25	9.61	58.18	47.66	10.52
0.56	0.03	0.00	0.57	138.62	8.28	0.00	119.70	138.62	127.98	10.64	38.74	34.49	4.25
0.60	0.07	0.00	0.59	148.29	16.32	0.00	123.66	148.29	139.98	8.31	44.34	37.20	7.14
0.64	0.06	0.00	0.66	159.70	14.18	0.00	137.43	159.70	151.61	8.09	51.42	45.69	5.73
0.64	0.05	0.00	0.64	157.96	11.85	0.00	133.88	157.96	145.74	12.23	50.31	43.26	7.05
0.58	0.03	0.00	0.56	143.83	7.74	0.00	117.41	143.83	125.14	18.68	41.71	33.17	8.54
0.62	0.06	0.00	0.64	153.25	15.80	0.00	132.84	153.25	148.64	4.62	47.35	42.81	4.54
0.52	0.06	0.00	0.56	128.45	13.99	0.00	116.57	128.45	130.56	-2.11	33.27	32.98	0.29
0.52	0.05	0.00	0.58	128.45	13.61	0.00	120.54	128.45	134.15	-5.70	33.27	35.21	-1.94
0.65	0.06	0.00	0.63	160.44	14.56	0.00	131.80	160.44	146.35	14.09	51.90	42.08	9.83
0.64	0.06	0.00	0.66	157.96	15.10	0.00	138.26	157.96	153.36	4.60	50.31	46.29	4.02

													
0.31	0.02	0.00	0.32	76.38	5.83	0.00	65.69	76.38	71.52	4.86	11.76	10.41	1.35
0.46	0.04	0.00	0.46	113.57	9.42	0.00	96.76	113.57	106.19	7.39	26.01	22.63	3.38
0.52	0.05	0.00	0.52	128.45	11.98	0.00	107.82	128.45	119.79	8.66	33.27	28.16	5.11
0.50	0.04	0.00	0.51	122.75	9.57	0.00	105.52	122.75	115.09	7.66	30.38	26.88	3.50
0.46	0.04	0.00	0.47	114.81	9.52	0.00	98.22	114.81	107.74	7.07	26.58	23.31	3.27
0.48	0.05	0.00	0.49	118.53	11.63	0.00	101.98	118.53	113.61	4.93	28.33	25.21	3.12
0.36	0.02	0.00	0.38	90.02	5.55	0.00	78.20	90.02	83.76	6.26	16.34	14.73	1.61
0.49	0.04	0.00	0.50	120.77	10.42	0.00	103.23	120.77	113.64	7.12	29.41	25.77	3.64
0.48	0.05	0.00	0.50	119.53	13.24	0.00	103.64	119.53	116.89	2.64	28.81	26.11	2.70
0.46	0.03	0.00	0.47	114.32	8.11	0.00	97.81	114.32	105.91	8.40	26.35	23.07	3.28
0.50	0.05	0.00	0.52	124.24	12.18	0.00	107.40	124.24	119.57	4.66	31.12	27.95	3.17
													

0.29	0.02	0.00	0.25	72.41	4.96	0.00	52.55	72.41	57.51	14.90	10.57	6.67	3.90
0.25	0.03	0.00	0.25	62.24	6.84	0.00	52.97	62.24	59.81	2.43	7.81	6.82	0.99
0.30	0.03	0.00	0.25	74.89	8.16	0.00	51.09	74.89	59.25	15.64	11.31	6.39	4.92
0.28	0.02	0.00	0.30	70.43	5.98	0.00	63.19	70.43	69.16	1.26	10.00	9.64	0.36
0.27	0.03	0.00	0.28	66.71	6.42	0.00	57.35	66.71	63.77	2.94	8.97	7.97	1.00
0.30	0.04	0.00	0.31	74.64	9.10	0.00	64.65	74.64	73.75	0.89	11.23	10.19	1.05
0.28	0.03	0.00	0.29	68.19	7.44	0.00	59.64	68.19	67.08	1.11	9.38	8.64	0.74
0.26	0.02	0.00	0.25	65.47	5.80	0.00	51.51	65.47	57.31	8.15	8.64	6.43	2.21
0.28	0.03	0.00	0.26	68.69	7.04	0.00	54.01	68.69	61.05	7.64	9.51	7.09	2.42
0.25	0.03	0.00	0.26	61.00	7.12	0.00	53.39	61.00	60.50	0.50	7.50	6.94	0.57
0.26	0.02	0.00	0.27	64.23	5.73	0.00	56.51	64.23	62.24	1.98	8.32	7.72	0.59


0.743	0.0552	0	0.653	154.95	-11.51	0.00	161.93	154.95	150.42	4.53	57.56	53.19	4.37
0.710	0.0396	0	0.602	148.06	-8.26	0.00	149.28	148.06	141.03	7.04	52.56	45.10	7.46
0.771	0.0439	0	0.670	160.78	-9.15	0.00	166.15	160.78	156.99	3.79	61.98	55.86	6.12
0.753	0.0162	0	0.635	157.03	-3.38	0.00	157.47	157.03	154.09	2.94	59.12	50.02	9.10
0.743	0.0760	0	0.674	154.95	-15.85	0.00	167.14	154.95	151.29	3.66	57.56	56.93	0.63
0.785	0.0555	0	0.664	163.70	-11.57	0.00	164.66	163.70	153.08	10.62	64.25	54.99	9.27
0.755	0.0293	0	0.553	157.45	-6.11	0.00	137.13	157.45	131.02	26.42	59.44	38.01	21.43
0.782	0.0421	0	0.666	163.08	-8.78	0.00	165.15	163.08	156.38	6.70	63.76	55.18	8.58
0.776	0.0430	0	0.713	161.83	-8.97	0.00	176.81	161.83	167.84	-6.02	62.79	63.23	-0.44
0.778	0.051	0	0.673	162.24	-10.64	0.00	166.89	162.24	156.26	5.99	63.11	56.43	6.68
													

0.555	0.0425	0	0.538	115.74	-8.86	0.00	133.41	115.74	124.55	-8.81	32.12	36.08	-3.96
0.567	0.0378	0	0.486	118.24	-7.88	0.00	120.52	118.24	112.64	5.61	33.52	29.43	4.09
0.556	0.0415	0	0.467	115.95	-8.65	0.00	115.81	115.95	107.15	8.80	32.23	27.22	5.01
0.559	0.0410	0	0.473	116.57	-8.55	0.00	117.29	116.57	108.74	7.83	32.58	27.92	4.67
0.552	0.0409	0	0.442	115.11	-8.53	0.00	109.61	115.11	101.08	14.04	31.77	24.40	7.37
0.543	0.0505	0	0.447	113.24	-10.53	0.00	110.85	113.24	100.32	12.92	30.74	25.04	5.70
0.571	0.0343	0	0.482	119.08	-7.15	0.00	119.53	119.08	112.37	6.70	34.00	28.93	5.07
0.544	0.0332	0	0.478	113.45	-6.92	0.00	118.53	113.45	111.61	1.83	30.86	28.44	2.41
0.535	0.0202	0	0.459	111.57	-4.21	0.00	113.82	111.57	109.61	1.96	29.84	26.16	3.68
0.550	0.0356	0	0.461	114.70	-7.42	0.00	114.32	114.70	106.89	7.80	31.54	26.48	5.06

													
0.316	0.0335	0	0.272	65.90	6.99	0.00	67.45	65.90	74.44	-8.54	10.41	9.29	1.12
0.337	0.0061	0	0.292	70.28	1.27	0.00	72.41	70.28	73.68	-3.40	11.84	10.58	1.27
0.328	0.0251	0	0.272	68.40	5.23	0.00	67.45	68.40	72.68	-4.28	11.22	9.24	1.98
0.27	0.0351	0	0.144	56.31	7.32	0.00	35.71	56.31	43.03	13.28	7.60	2.70	4.90
0.334	0.0254	0	0.299	69.65	5.30	0.00	74.15	69.65	79.44	-9.79	11.63	11.15	0.48
0.335	0.0399	0	0.293	69.86	8.32	0.00	72.66	69.86	80.98	-11.12	11.70	10.81	0.89
0.333	0.0378	0	0.272	69.44	7.88	0.00	67.45	69.44	75.33	-5.89	11.56	9.32	2.24
0.338	0.0381	0	0.294	70.49	7.95	0.00	72.91	70.49	80.85	-10.36	11.91	10.87	1.04
0.325	0.0433	0	0.299	67.78	9.03	0.00	74.15	67.78	83.18	-15.40	11.01	11.28	-0.27
0.312	0.0118	0	0.273	65.06	2.46	0.00	67.70	65.06	70.16	-5.09	10.15	9.26	0.89

