n1	0.790	0.321	0.2175	0.1647466	0.06694134	0.01418794
n2	0.781	0.305	0.2145	0.16286974	0.0636047	0.01197444
n3	0.776	0.276	0.2205	0.16182704	0.05755704	-0.00111592
n4	0.762	0.275	0.2089	0.15890748	0.0573485	0.00735598
n5	0.795	0.292	0.2222	0.1657893	0.06089368	0.00448298

s1	0.557	0.217	0.1562	0.11615678	0.04525318	0.00520996
s2	0.595	0.219	0.1673	0.1240813	0.04567026	0.00245156
s3	0.577	0.209	0.1617	0.12032758	0.04358486	0.00221244
s4	0.491	0.193	0.1372	0.10239314	0.04024822	0.00544136
s5	0.580	0.224	0.1638	0.1209532	0.04671296	0.00386616

m1	0.300	0.141	0.0872	0.062562	0.02940414	0.00476614
m2	0.313	0.142	0.0896	0.06527302	0.02961268	0.0052857
m3	0.285	0.123	0.0804	0.0594339	0.02565042	0.00468432
m4	0.351	0.151	0.0957	0.07319754	0.03148954	0.00898708
m5	0.262	0.125	0.076	0.05463748	0.0260675	0.00470498



