#Linear Position. Run #7
#Time ( s )	Linear Position ( m )
0.0000	29.945
0.0250	29.945
0.0500	29.945
0.0750	29.945
0.1000	29.945
0.1250	29.945
0.1500	29.945
0.1750	29.945
0.2000	29.945
0.2250	29.945
0.2500	29.945
0.2750	29.945
0.3000	29.945
0.3250	29.945
0.3500	29.945
0.3750	29.945
0.4000	29.945
0.4250	29.945
0.4500	29.945
0.4750	29.945
0.5000	29.945
0.5250	29.945
0.5500	29.945
0.5750	29.945
0.6000	29.945
0.6250	29.945
0.6500	29.908
0.6750	29.908
0.7000	29.908
0.7250	29.871
0.7500	29.871
0.7750	29.871
0.8000	29.833
0.8250	29.833
0.8500	29.796
0.8750	29.796
0.9000	29.758
0.9250	29.721
0.9500	29.721
0.9750	29.684
1.0000	29.646
1.0250	29.646
1.0500	29.609
1.0750	29.572
1.1000	29.572
1.1250	29.534
1.1500	29.497
1.1750	29.459
1.2000	29.459
1.2250	29.422
1.2500	29.385
1.2750	29.385
1.3000	29.347
1.3250	29.347
1.3500	29.347
1.3750	29.347
1.4000	29.310
1.4250	29.310
1.4500	29.310
1.4750	29.310
1.5000	29.310
1.5250	29.310
1.5500	29.310
1.5750	29.310
1.6000	29.310
1.6250	29.310
1.6500	29.310
1.6750	29.347
1.7000	29.347
1.7250	29.385
1.7500	29.422
1.7750	29.497
1.8000	29.534
1.8250	29.609
1.8500	29.684
1.8750	29.758
1.9000	29.796
1.9250	29.871
1.9500	29.908
1.9750	29.983
2.0000	30.020
2.0250	30.132
2.0500	30.170
2.0750	30.282
2.1000	30.357
2.1250	30.431
2.1500	30.469
2.1750	30.544
2.2000	30.618
2.2250	30.656
2.2500	30.693
2.2750	30.730
2.3000	30.768
2.3250	30.768
2.3500	30.805
2.3750	30.843
2.4000	30.843
2.4250	30.880
2.4500	30.880
2.4750	30.880
2.5000	30.880
2.5250	30.880
2.5500	30.880
2.5750	30.880
2.6000	30.880
2.6250	30.880
2.6500	30.880
2.6750	30.880
2.7000	30.880
2.7250	30.843
2.7500	30.768
2.7750	30.730
2.8000	30.693
2.8250	30.618
2.8500	30.544
2.8750	30.469
2.9000	30.394
2.9250	30.319
2.9500	30.244
2.9750	30.132
3.0000	30.020
3.0250	29.908
3.0500	29.796
3.0750	29.684
3.1000	29.572
3.1250	29.534
3.1500	29.497
3.1750	29.422
3.2000	29.385
3.2250	29.385
3.2500	29.385
3.2750	29.347
3.3000	29.347
3.3250	29.347
3.3500	29.347
3.3750	29.347
3.4000	29.347
3.4250	29.385
3.4500	29.385
3.4750	29.459
3.5000	29.534
3.5250	29.646
3.5500	29.796
3.5750	29.908
3.6000	30.095
3.6250	30.244
3.6500	30.394
3.6750	30.544
3.7000	30.618
3.7250	30.730
3.7500	30.805
3.7750	30.880
3.8000	30.880
3.8250	30.917
3.8500	30.955
3.8750	30.955
3.9000	30.955
3.9250	30.955
