#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
0.0000	0.016
0.0250	0.016
0.0500	0.016
0.0750	0.016
0.1000	0.016
0.1250	0.016
0.1500	0.016
0.1750	0.016
0.2000	0.016
0.2250	0.016
0.2500	0.016
0.2750	0.016
0.3000	0.016
0.3250	0.016
0.3500	0.016
0.3750	0.016
0.4000	0.016
0.4250	0.016
0.4500	0.016
0.4750	0.017
0.5000	0.019
0.5250	0.024
0.5500	0.027
0.5750	0.031
0.6000	0.035
0.6250	0.036
0.6500	0.036
0.6750	0.030
0.7000	0.019
0.7250	0.002
0.7500	-0.020
0.7750	-0.047
0.8000	-0.077
0.8250	-0.107
0.8500	-0.137
0.8750	-0.165
0.9000	-0.196
0.9250	-0.228
0.9500	-0.259
0.9750	-0.294
1.0000	-0.331
1.0250	-0.371
1.0500	-0.415
1.0750	-0.463
1.1000	-0.515
1.1250	-0.572
1.1500	-0.633
1.1750	-0.697
1.2000	-0.768
1.2250	-0.844
1.2500	-0.925
1.2750	-1.016
1.3000	-1.114
1.3250	-1.217
1.3500	-1.321
1.3750	-1.415
1.4000	-1.495
1.4250	-1.565
1.4500	-1.619
1.4750	-1.659
1.5000	-1.684
1.5250	-1.695
1.5500	-1.692
1.5750	-1.673
1.6000	-1.640
1.6250	-1.591
1.6500	-1.530
1.6750	-1.456
1.7000	-1.370
1.7250	-1.271
1.7500	-1.162
1.7750	-1.043
1.8000	-0.914
1.8250	-0.779
1.8500	-0.636
1.8750	-0.489
1.9000	-0.336
1.9250	-0.182
1.9500	-0.025
1.9750	0.130
2.0000	0.286
2.0250	0.438
2.0500	0.587
2.0750	0.730
2.1000	0.867
2.1250	0.997
2.1500	1.120
2.1750	1.232
2.2000	1.334
2.2250	1.425
2.2500	1.502
2.2750	1.569
2.3000	1.621
2.3250	1.659
2.3500	1.684
2.3750	1.693
2.4000	1.690
2.4250	1.671
2.4500	1.640
2.4750	1.593
2.5000	1.533
2.5250	1.462
2.5500	1.378
2.5750	1.283
2.6000	1.178
2.6250	1.062
2.6500	0.939
2.6750	0.809
2.7000	0.672
2.7250	0.531
2.7500	0.385
2.7750	0.237
2.8000	0.086
2.8250	-0.064
2.8500	-0.214
2.8750	-0.360
2.9000	-0.504
2.9250	-0.644
2.9500	-0.778
2.9750	-0.903
3.0000	-1.023
3.0250	-1.131
3.0500	-1.232
3.0750	-1.319
3.1000	-1.396
3.1250	-1.462
3.1500	-1.514
3.1750	-1.554
3.2000	-1.579
3.2250	-1.590
3.2500	-1.588
3.2750	-1.572
3.3000	-1.541
3.3250	-1.499
3.3500	-1.442
3.3750	-1.374
3.4000	-1.294
3.4250	-1.202
3.4500	-1.100
3.4750	-0.990
3.5000	-0.870
3.5250	-0.743
3.5500	-0.609
3.5750	-0.473
3.6000	-0.330
3.6250	-0.185
3.6500	-0.039
3.6750	0.107
3.7000	0.253
3.7250	0.396
3.7500	0.537
3.7750	0.672
3.8000	0.803
3.8250	0.925
3.8500	1.040
3.8750	1.147
3.9000	1.244
3.9250	1.330
3.9500	1.406
3.9750	1.469
4.0000	1.519
4.0250	1.558
4.0500	1.582
4.0750	1.594
4.1000	1.593
4.1250	1.577
4.1500	1.549
4.1750	1.508
4.2000	1.453
4.2250	1.387
4.2500	1.312
4.2750	1.224
4.3000	1.126
4.3250	1.019
4.3500	0.905
4.3750	0.784
4.4000	0.657
4.4250	0.523
4.4500	0.388
4.4750	0.248
4.5000	0.107
4.5250	-0.035
4.5500	-0.176
4.5750	-0.314
4.6000	-0.449
4.6250	-0.581
4.6500	-0.707
4.6750	-0.828
4.7000	-0.939
4.7250	-1.043
4.7500	-1.139
4.7750	-1.224
4.8000	-1.299
4.8250	-1.362
4.8500	-1.414
4.8750	-1.451
4.9000	-1.478
4.9250	-1.491
4.9500	-1.491
4.9750	-1.478
5.0000	-1.453
5.0250	-1.415
5.0500	-1.365
5.0750	-1.302
5.1000	-1.230
5.1250	-1.145
5.1500	-1.052
5.1750	-0.949
5.2000	-0.839
5.2250	-0.723
5.2500	-0.597
5.2750	-0.470
5.3000	-0.336
5.3250	-0.201
5.3500	-0.064
5.3750	0.074
5.4000	0.210
5.4250	0.346
5.4500	0.478
5.4750	0.606
5.5000	0.729
5.5250	0.847
5.5500	0.955
5.5750	1.057
5.6000	1.150
5.6250	1.233
5.6500	1.305
5.6750	1.368
5.7000	1.418
5.7250	1.456
5.7500	1.481
5.7750	1.495
5.8000	1.497
5.8250	1.484
5.8500	1.461
5.8750	1.425
5.9000	1.378
5.9250	1.318
5.9500	1.249
5.9750	1.169
6.0000	1.081
6.0250	0.982
6.0500	0.878
6.0750	0.765
6.1000	0.647
6.1250	0.523
6.1500	0.396
6.1750	0.267
6.2000	0.135
6.2250	0.003
6.2500	-0.129
6.2750	-0.259
6.3000	-0.386
6.3250	-0.511
6.3500	-0.630
6.3750	-0.743
6.4000	-0.850
6.4250	-0.950
6.4500	-1.041
6.4750	-1.123
6.5000	-1.195
6.5250	-1.257
6.5500	-1.307
6.5750	-1.346
6.6000	-1.373
6.6250	-1.389
6.6500	-1.392
6.6750	-1.384
6.7000	-1.363
6.7250	-1.330
6.7500	-1.286
6.7750	-1.232
6.8000	-1.164
6.8250	-1.089
6.8500	-1.005
6.8750	-0.911
6.9000	-0.811
6.9250	-0.702
6.9500	-0.587
6.9750	-0.468
7.0000	-0.346
7.0250	-0.220
7.0500	-0.093
7.0750	0.036
7.1000	0.163
7.1250	0.291
7.1500	0.415
7.1750	0.536
7.2000	0.652
7.2250	0.762
7.2500	0.866
7.2750	0.963
7.3000	1.051
7.3250	1.131
7.3500	1.202
7.3750	1.261
7.4000	1.312
7.4250	1.349
7.4500	1.376
7.4750	1.393
7.5000	1.396
7.5250	1.389
7.5500	1.370
7.5750	1.340
7.6000	1.299
7.6250	1.246
7.6500	1.184
7.6750	1.112
7.7000	1.032
7.7250	0.944
7.7500	0.848
7.7750	0.746
7.8000	0.638
7.8250	0.523
7.8500	0.407
7.8750	0.287
7.9000	0.165
7.9250	0.042
7.9500	-0.082
7.9750	-0.203
8.0000	-0.322
8.0250	-0.438
8.0500	-0.551
8.0750	-0.658
8.1000	-0.759
8.1250	-0.855
8.1500	-0.941
8.1750	-1.019
8.2000	-1.089
8.2250	-1.150
8.2500	-1.199
8.2750	-1.238
8.3000	-1.268
8.3250	-1.285
8.3500	-1.291
8.3750	-1.288
8.4000	-1.271
8.4250	-1.244
8.4500	-1.206
8.4750	-1.158
8.5000	-1.101
8.5250	-1.034
8.5500	-0.957
8.5750	-0.873
8.6000	-0.781
8.6250	-0.683
8.6500	-0.578
8.6750	-0.470
8.7000	-0.357
8.7250	-0.240
8.7500	-0.123
8.7750	-0.003
