#Angular Position. Run #1
#Time ( s )	Angular Position ( rad )
0.0000	-0.867
0.0250	-0.883
0.0500	-0.898
0.0750	-0.913
0.1000	-0.928
0.1250	-0.944
0.1500	-0.961
0.1750	-0.979
0.2000	-0.996
0.2250	-1.012
0.2500	-1.027
0.2750	-1.041
0.3000	-1.054
0.3250	-1.062
0.3500	-1.063
0.3750	-1.063
0.4000	-1.062
0.4250	-1.063
0.4500	-1.071
0.4750	-1.081
0.5000	-1.087
0.5250	-1.095
0.5500	-1.104
0.5750	-1.118
0.6000	-1.136
0.6250	-1.155
0.6500	-1.175
0.6750	-1.195
0.7000	-1.214
0.7250	-1.232
0.7500	-1.247
0.7750	-1.260
0.8000	-1.269
0.8250	-1.279
0.8500	-1.288
0.8750	-1.299
0.9000	-1.310
0.9250	-1.321
0.9500	-1.332
0.9750	-1.338
1.0000	-1.346
1.0250	-1.351
1.0500	-1.356
1.0750	-1.356
1.1000	-1.356
1.1250	-1.356
1.1500	-1.352
1.1750	-1.343
1.2000	-1.323
1.2250	-1.290
1.2500	-1.247
1.2750	-1.194
1.3000	-1.131
1.3250	-1.059
1.3500	-0.977
1.3750	-0.888
1.4000	-0.792
1.4250	-0.691
1.4500	-0.583
1.4750	-0.471
1.5000	-0.357
1.5250	-0.239
1.5500	-0.119
1.5750	0.000
1.6000	0.119
1.6250	0.237
1.6500	0.350
1.6750	0.462
1.7000	0.567
1.7250	0.668
1.7500	0.763
1.7750	0.850
1.8000	0.930
1.8250	1.002
1.8500	1.065
1.8750	1.118
1.9000	1.164
1.9250	1.199
1.9500	1.222
1.9750	1.235
2.0000	1.238
2.0250	1.232
2.0500	1.214
2.0750	1.188
2.1000	1.151
2.1250	1.106
2.1500	1.052
2.1750	0.991
2.2000	0.922
2.2250	0.845
2.2500	0.763
2.2750	0.675
2.3000	0.583
2.3250	0.487
2.3500	0.388
2.3750	0.284
2.4000	0.182
2.4250	0.079
2.4500	-0.025
2.4750	-0.127
2.5000	-0.226
2.5250	-0.324
2.5500	-0.416
2.5750	-0.506
2.6000	-0.591
2.6250	-0.668
2.6500	-0.741
2.6750	-0.806
2.7000	-0.864
2.7250	-0.914
2.7500	-0.955
2.7750	-0.988
2.8000	-1.012
2.8250	-1.027
2.8500	-1.034
2.8750	-1.032
2.9000	-1.019
