#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
0.0000	-1.359
0.0250	-1.357
0.0500	-1.357
0.0750	-1.357
0.1000	-1.357
0.1250	-1.359
0.1500	-1.362
0.1750	-1.363
0.2000	-1.365
0.2250	-1.367
0.2500	-1.370
0.2750	-1.370
0.3000	-1.370
0.3250	-1.370
0.3500	-1.370
0.3750	-1.370
0.4000	-1.371
0.4250	-1.371
0.4500	-1.371
0.4750	-1.371
0.5000	-1.371
0.5250	-1.370
0.5500	-1.363
0.5750	-1.345
0.6000	-1.318
0.6250	-1.282
0.6500	-1.236
0.6750	-1.183
0.7000	-1.125
0.7250	-1.059
0.7500	-0.988
0.7750	-0.914
0.8000	-0.836
0.8250	-0.754
0.8500	-0.672
0.8750	-0.586
0.9000	-0.503
0.9250	-0.418
0.9500	-0.335
0.9750	-0.253
1.0000	-0.173
1.0250	-0.096
1.0500	-0.024
1.0750	0.046
1.1000	0.110
1.1250	0.168
1.1500	0.223
1.1750	0.272
1.2000	0.316
1.2250	0.355
1.2500	0.390
1.2750	0.419
1.3000	0.443
1.3250	0.462
1.3500	0.478
1.3750	0.487
1.4000	0.492
1.4250	0.493
1.4500	0.490
1.4750	0.484
1.5000	0.473
1.5250	0.460
1.5500	0.445
1.5750	0.426
1.6000	0.405
1.6250	0.383
1.6500	0.358
1.6750	0.333
1.7000	0.306
1.7250	0.278
1.7500	0.251
1.7750	0.223
1.8000	0.195
1.8250	0.168
1.8500	0.140
1.8750	0.113
1.9000	0.088
1.9250	0.064
1.9500	0.042
1.9750	0.020
2.0000	0.000
2.0250	-0.019
2.0500	-0.036
2.0750	-0.050
2.1000	-0.064
2.1250	-0.077
2.1500	-0.088
2.1750	-0.096
2.2000	-0.102
2.2250	-0.108
2.2500	-0.113
2.2750	-0.115
2.3000	-0.116
2.3250	-0.116
2.3500	-0.115
2.3750	-0.113
2.4000	-0.108
2.4250	-0.105
2.4500	-0.099
2.4750	-0.094
2.5000	-0.086
2.5250	-0.080
2.5500	-0.072
2.5750	-0.064
2.6000	-0.057
2.6250	-0.047
2.6500	-0.039
2.6750	-0.031
2.7000	-0.022
2.7250	-0.014
2.7500	-0.006
2.7750	0.002
2.8000	0.009
2.8250	0.017
2.8500	0.024
2.8750	0.030
2.9000	0.036
2.9250	0.041
2.9500	0.046
2.9750	0.050
3.0000	0.055
3.0250	0.058
3.0500	0.061
3.0750	0.063
3.1000	0.064
3.1250	0.066
3.1500	0.068
3.1750	0.068
3.2000	0.068
3.2250	0.068
3.2500	0.068
3.2750	0.066
3.3000	0.064
3.3250	0.063
3.3500	0.061
3.3750	0.060
3.4000	0.058
3.4250	0.057
3.4500	0.055
3.4750	0.052
3.5000	0.050
3.5250	0.049
3.5500	0.046
3.5750	0.044
3.6000	0.042
3.6250	0.039
3.6500	0.038
3.6750	0.036
3.7000	0.033
