#Angular Position. Run #6
#Time ( s )	Angular Position ( rad )
0.0000	-1.128
0.0250	-1.081
0.0500	-1.026
0.0750	-0.968
0.1000	-0.905
0.1250	-0.839
0.1500	-0.770
0.1750	-0.697
0.2000	-0.625
0.2250	-0.553
0.2500	-0.479
0.2750	-0.407
0.3000	-0.336
0.3250	-0.265
0.3500	-0.198
0.3750	-0.134
0.4000	-0.072
0.4250	-0.016
0.4500	0.038
0.4750	0.086
0.5000	0.132
0.5250	0.173
0.5500	0.209
0.5750	0.240
0.6000	0.269
0.6250	0.292
0.6500	0.311
0.6750	0.327
0.7000	0.339
0.7250	0.347
0.7500	0.352
0.7750	0.353
0.8000	0.352
0.8250	0.349
0.8500	0.342
0.8750	0.333
0.9000	0.324
0.9250	0.311
0.9500	0.297
0.9750	0.283
1.0000	0.265
1.0250	0.250
1.0500	0.231
1.0750	0.214
1.1000	0.195
1.1250	0.178
1.1500	0.159
1.1750	0.141
1.2000	0.124
1.2250	0.107
1.2500	0.091
1.2750	0.075
1.3000	0.060
1.3250	0.046
1.3500	0.031
1.3750	0.020
1.4000	0.008
1.4250	-0.002
1.4500	-0.011
1.4750	-0.019
1.5000	-0.027
1.5250	-0.033
1.5500	-0.038
1.5750	-0.042
1.6000	-0.046
1.6250	-0.049
1.6500	-0.050
1.6750	-0.050
1.7000	-0.050
1.7250	-0.050
1.7500	-0.050
1.7750	-0.049
1.8000	-0.046
1.8250	-0.044
1.8500	-0.041
1.8750	-0.038
1.9000	-0.033
1.9250	-0.030
1.9500	-0.025
1.9750	-0.022
2.0000	-0.017
2.0250	-0.014
2.0500	-0.009
2.0750	-0.006
2.1000	-0.002
2.1250	0.003
2.1500	0.006
2.1750	0.011
2.2000	0.013
2.2250	0.017
2.2500	0.019
2.2750	0.024
2.3000	0.025
2.3250	0.028
2.3500	0.030
2.3750	0.031
2.4000	0.033
2.4250	0.035
2.4500	0.036
2.4750	0.036
2.5000	0.038
2.5250	0.038
2.5500	0.038
2.5750	0.038
2.6000	0.038
2.6250	0.038
2.6500	0.038
2.6750	0.038
2.7000	0.038
2.7250	0.036
2.7500	0.036
2.7750	0.036
2.8000	0.035
2.8250	0.033
2.8500	0.033
2.8750	0.031
2.9000	0.031
2.9250	0.030
2.9500	0.030
2.9750	0.030
3.0000	0.028
3.0250	0.028
3.0500	0.027
3.0750	0.027
3.1000	0.025
3.1250	0.025
3.1500	0.025
3.1750	0.025
3.2000	0.025
3.2250	0.025
3.2500	0.024
3.2750	0.024
3.3000	0.024
3.3250	0.024
3.3500	0.024
3.3750	0.024
3.4000	0.024
3.4250	0.024
3.4500	0.024
3.4750	0.024
3.5000	0.024
3.5250	0.024
3.5500	0.024
3.5750	0.024
3.6000	0.024
3.6250	0.024
3.6500	0.024
3.6750	0.024
3.7000	0.024
3.7250	0.024
3.7500	0.024
3.7750	0.024
3.8000	0.024
3.8250	0.024
3.8500	0.024
3.8750	0.024
3.9000	0.024
3.9250	0.024
3.9500	0.024
3.9750	0.024
4.0000	0.024
4.0250	0.024
4.0500	0.024
4.0750	0.024
4.1000	0.024
4.1250	0.024
4.1500	0.024
4.1750	0.024
4.2000	0.024
4.2250	0.024
4.2500	0.024
4.2750	0.024
4.3000	0.024
4.3250	0.024
4.3500	0.024
4.3750	0.024
4.4000	0.024
4.4250	0.024
4.4500	0.024
4.4750	0.024
4.5000	0.024
4.5250	0.024
4.5500	0.024
4.5750	0.024
4.6000	0.024
4.6250	0.024
4.6500	0.024
4.6750	0.024
4.7000	0.024
4.7250	0.024
4.7500	0.024
4.7750	0.024
4.8000	0.024
4.8250	0.024
4.8500	0.024
4.8750	0.024
4.9000	0.024
4.9250	0.024
4.9500	0.024
4.9750	0.024
5.0000	0.024
5.0250	0.024
5.0500	0.024
5.0750	0.024
5.1000	0.024
5.1250	0.024
5.1500	0.024
5.1750	0.024
5.2000	0.024
5.2250	0.024
5.2500	0.024
5.2750	0.024
5.3000	0.024
5.3250	0.024
5.3500	0.024
5.3750	0.024
5.4000	0.024
5.4250	0.024
5.4500	0.024
5.4750	0.024
5.5000	0.024
5.5250	0.024
5.5500	0.024
5.5750	0.024
5.6000	0.024
5.6250	0.024
5.6500	0.024
5.6750	0.024
5.7000	0.024
5.7250	0.024
5.7500	0.024
5.7750	0.024
5.8000	0.024
5.8250	0.024
5.8500	0.024
5.8750	0.024
5.9000	0.024
5.9250	0.024
5.9500	0.024
5.9750	0.024
6.0000	0.024
6.0250	0.024
6.0500	0.024
6.0750	0.024
6.1000	0.024
6.1250	0.024
6.1500	0.024
6.1750	0.024
6.2000	0.024
6.2250	0.024
6.2500	0.024
6.2750	0.024
6.3000	0.024
6.3250	0.024
6.3500	0.024
6.3750	0.024
6.4000	0.024
6.4250	0.024
6.4500	0.024
6.4750	0.024
6.5000	0.024
6.5250	0.024
6.5500	0.024
6.5750	0.024
6.6000	0.024
6.6250	0.024
6.6500	0.024
6.6750	0.024
6.7000	0.024
6.7250	0.024
6.7500	0.024
6.7750	0.024
6.8000	0.024
6.8250	0.024
6.8500	0.024
6.8750	0.024
6.9000	0.024
6.9250	0.024
6.9500	0.024
6.9750	0.024
7.0000	0.024
7.0250	0.024
7.0500	0.024
