#Angular Position. Run #2
#Time ( s )	Angular Position ( rad )
0.0000	0.022
0.0250	0.022
0.0500	0.022
0.0750	0.022
0.1000	0.022
0.1250	0.022
0.1500	0.022
0.1750	0.022
0.2000	0.019
0.2250	0.009
0.2500	-0.013
0.2750	-0.052
0.3000	-0.115
0.3250	-0.207
0.3500	-0.333
0.3750	-0.481
0.4000	-0.655
0.4250	-0.844
0.4500	-1.030
0.4750	-1.203
0.5000	-1.363
0.5250	-1.510
0.5500	-1.640
0.5750	-1.755
0.6000	-1.850
0.6250	-1.931
0.6500	-1.990
0.6750	-2.033
0.7000	-2.056
0.7250	-2.062
0.7500	-2.050
0.7750	-2.020
0.8000	-1.971
0.8250	-1.909
0.8500	-1.828
0.8750	-1.736
0.9000	-1.627
0.9250	-1.508
0.9500	-1.378
0.9750	-1.238
1.0000	-1.089
1.0250	-0.933
1.0500	-0.774
1.0750	-0.609
1.1000	-0.443
1.1250	-0.273
1.1500	-0.107
1.1750	0.060
1.2000	0.223
1.2250	0.380
1.2500	0.533
1.2750	0.677
1.3000	0.815
1.3250	0.944
1.3500	1.062
1.3750	1.170
1.4000	1.266
1.4250	1.351
1.4500	1.422
1.4750	1.480
1.5000	1.525
1.5250	1.557
1.5500	1.574
1.5750	1.579
1.6000	1.571
1.6250	1.549
1.6500	1.514
1.6750	1.469
1.7000	1.412
1.7250	1.345
1.7500	1.268
1.7750	1.181
1.8000	1.087
1.8250	0.986
1.8500	0.880
1.8750	0.768
1.9000	0.652
1.9250	0.533
1.9500	0.412
1.9750	0.287
2.0000	0.167
2.0250	0.044
2.0500	-0.075
2.0750	-0.192
2.1000	-0.305
2.1250	-0.412
2.1500	-0.515
2.1750	-0.611
2.2000	-0.701
2.2250	-0.782
2.2500	-0.856
2.2750	-0.920
2.3000	-0.977
2.3250	-1.023
2.3500	-1.059
2.3750	-1.085
2.4000	-1.103
2.4250	-1.109
2.4500	-1.107
2.4750	-1.095
2.5000	-1.073
2.5250	-1.043
2.5500	-1.004
2.5750	-0.958
2.6000	-0.905
2.6250	-0.844
2.6500	-0.776
2.6750	-0.704
2.7000	-0.625
2.7250	-0.543
2.7500	-0.459
2.7750	-0.371
2.8000	-0.281
2.8250	-0.190
2.8500	-0.101
2.8750	-0.009
2.9000	0.080
2.9250	0.167
2.9500	0.250
2.9750	0.330
3.0000	0.407
3.0250	0.478
3.0500	0.545
3.0750	0.606
3.1000	0.661
3.1250	0.710
3.1500	0.752
3.1750	0.787
3.2000	0.815
3.2250	0.836
3.2500	0.850
3.2750	0.856
3.3000	0.856
3.3250	0.848
3.3500	0.834
3.3750	0.814
3.4000	0.787
3.4250	0.754
3.4500	0.716
3.4750	0.672
3.5000	0.625
3.5250	0.575
3.5500	0.518
3.5750	0.462
3.6000	0.401
3.6250	0.338
3.6500	0.273
3.6750	0.207
3.7000	0.143
3.7250	0.079
3.7500	0.014
3.7750	-0.049
3.8000	-0.110
3.8250	-0.168
3.8500	-0.223
3.8750	-0.276
3.9000	-0.325
3.9250	-0.371
3.9500	-0.412
3.9750	-0.449
4.0000	-0.481
4.0250	-0.509
4.0500	-0.531
4.0750	-0.548
4.1000	-0.559
4.1250	-0.567
4.1500	-0.567
4.1750	-0.565
4.2000	-0.558
4.2250	-0.543
4.2500	-0.526
4.2750	-0.504
4.3000	-0.479
4.3250	-0.449
4.3500	-0.416
4.3750	-0.380
4.4000	-0.341
4.4250	-0.298
4.4500	-0.256
4.4750	-0.210
4.5000	-0.165
4.5250	-0.118
4.5500	-0.071
4.5750	-0.024
4.6000	0.024
4.6250	0.069
4.6500	0.113
4.6750	0.156
4.7000	0.195
4.7250	0.234
4.7500	0.269
4.7750	0.302
4.8000	0.330
4.8250	0.357
4.8500	0.379
4.8750	0.399
4.9000	0.413
4.9250	0.426
4.9500	0.434
4.9750	0.438
5.0000	0.438
5.0250	0.437
5.0500	0.430
5.0750	0.419
5.1000	0.407
5.1250	0.391
5.1500	0.374
5.1750	0.352
5.2000	0.330
