#Angular Position. Run #5
#Time ( s )	Angular Position ( rad )
0.0000	-0.016
0.0250	-0.016
0.0500	-0.016
0.0750	-0.020
0.1000	-0.027
0.1250	-0.035
0.1500	-0.047
0.1750	-0.061
0.2000	-0.080
0.2250	-0.102
0.2500	-0.129
0.2750	-0.163
0.3000	-0.207
0.3250	-0.259
0.3500	-0.320
0.3750	-0.386
0.4000	-0.456
0.4250	-0.529
0.4500	-0.611
0.4750	-0.707
0.5000	-0.814
0.5250	-0.928
0.5500	-1.052
0.5750	-1.188
0.6000	-1.313
0.6250	-1.414
0.6500	-1.492
0.6750	-1.550
0.7000	-1.591
0.7250	-1.613
0.7500	-1.619
0.7750	-1.612
0.8000	-1.593
0.8250	-1.561
0.8500	-1.519
0.8750	-1.470
0.9000	-1.414
0.9250	-1.351
0.9500	-1.283
0.9750	-1.213
1.0000	-1.139
1.0250	-1.065
1.0500	-0.990
1.0750	-0.916
1.1000	-0.839
1.1250	-0.765
1.1500	-0.691
1.1750	-0.617
1.2000	-0.548
1.2250	-0.479
1.2500	-0.413
1.2750	-0.350
1.3000	-0.291
1.3250	-0.234
1.3500	-0.182
1.3750	-0.134
1.4000	-0.090
1.4250	-0.047
1.4500	-0.011
1.4750	0.022
1.5000	0.050
1.5250	0.075
1.5500	0.097
1.5750	0.116
1.6000	0.132
1.6250	0.145
1.6500	0.156
1.6750	0.163
1.7000	0.168
1.7250	0.173
1.7500	0.174
1.7750	0.174
1.8000	0.173
1.8250	0.170
1.8500	0.167
1.8750	0.162
1.9000	0.157
1.9250	0.152
1.9500	0.146
1.9750	0.140
2.0000	0.134
2.0250	0.127
2.0500	0.119
2.0750	0.113
2.1000	0.105
2.1250	0.099
2.1500	0.093
2.1750	0.085
2.2000	0.079
2.2250	0.072
2.2500	0.068
2.2750	0.061
2.3000	0.055
2.3250	0.050
2.3500	0.046
2.3750	0.041
2.4000	0.038
2.4250	0.035
2.4500	0.030
2.4750	0.027
2.5000	0.024
2.5250	0.022
2.5500	0.019
2.5750	0.017
2.6000	0.016
2.6250	0.013
2.6500	0.011
2.6750	0.011
2.7000	0.009
2.7250	0.009
2.7500	0.008
2.7750	0.008
2.8000	0.006
2.8250	0.006
2.8500	0.006
2.8750	0.006
2.9000	0.006
2.9250	0.006
2.9500	0.006
2.9750	0.006
3.0000	0.006
3.0250	0.006
3.0500	0.006
3.0750	0.006
3.1000	0.006
3.1250	0.006
3.1500	0.006
3.1750	0.006
3.2000	0.006
3.2250	0.006
3.2500	0.006
3.2750	0.006
3.3000	0.006
3.3250	0.006
3.3500	0.006
3.3750	0.006
3.4000	0.006
3.4250	0.006
3.4500	0.006
3.4750	0.006
3.5000	0.006
3.5250	0.006
3.5500	0.006
3.5750	0.006
3.6000	0.006
