#Angular Position. Run #13
#Time ( s )	Angular Position ( rad )
0.0000	-1.431
0.0250	-1.429
0.0500	-1.428
0.0750	-1.426
0.1000	-1.423
0.1250	-1.422
0.1500	-1.422
0.1750	-1.422
0.2000	-1.422
0.2250	-1.422
0.2500	-1.422
0.2750	-1.420
0.3000	-1.420
0.3250	-1.418
0.3500	-1.417
0.3750	-1.415
0.4000	-1.415
0.4250	-1.415
0.4500	-1.415
0.4750	-1.415
0.5000	-1.417
0.5250	-1.425
0.5500	-1.434
0.5750	-1.442
0.6000	-1.453
0.6250	-1.455
0.6500	-1.444
0.6750	-1.422
0.7000	-1.392
0.7250	-1.356
0.7500	-1.313
0.7750	-1.264
0.8000	-1.214
0.8250	-1.161
0.8500	-1.106
0.8750	-1.049
0.9000	-0.993
0.9250	-0.936
0.9500	-0.878
0.9750	-0.822
1.0000	-0.765
1.0250	-0.710
1.0500	-0.655
1.0750	-0.603
1.1000	-0.553
1.1250	-0.504
1.1500	-0.457
1.1750	-0.413
1.2000	-0.372
1.2250	-0.331
1.2500	-0.295
1.2750	-0.261
1.3000	-0.229
1.3250	-0.199
1.3500	-0.173
1.3750	-0.148
1.4000	-0.126
1.4250	-0.107
1.4500	-0.088
1.4750	-0.072
1.5000	-0.058
1.5250	-0.046
1.5500	-0.035
1.5750	-0.025
1.6000	-0.017
1.6250	-0.009
1.6500	-0.003
1.6750	0.002
1.7000	0.006
1.7250	0.009
1.7500	0.013
1.7750	0.016
1.8000	0.017
1.8250	0.017
1.8500	0.019
1.8750	0.019
1.9000	0.019
1.9250	0.019
1.9500	0.019
1.9750	0.019
2.0000	0.019
2.0250	0.019
2.0500	0.019
2.0750	0.019
2.1000	0.019
2.1250	0.019
2.1500	0.019
2.1750	0.019
2.2000	0.019
2.2250	0.019
2.2500	0.019
2.2750	0.019
2.3000	0.019
2.3250	0.019
2.3500	0.019
2.3750	0.019
2.4000	0.019
2.4250	0.019
2.4500	0.019
2.4750	0.019
2.5000	0.019
2.5250	0.019
2.5500	0.019
2.5750	0.019
2.6000	0.019
2.6250	0.019
2.6500	0.019
2.6750	0.019
2.7000	0.019
2.7250	0.019
2.7500	0.019
2.7750	0.019
2.8000	0.019
2.8250	0.019
2.8500	0.019
2.8750	0.019
2.9000	0.019
2.9250	0.019
2.9500	0.019
2.9750	0.019
3.0000	0.019
3.0250	0.019
3.0500	0.019
3.0750	0.019
3.1000	0.019
3.1250	0.019
3.1500	0.019
3.1750	0.019
3.2000	0.019
3.2250	0.019
3.2500	0.019
3.2750	0.019
3.3000	0.019
3.3250	0.019
3.3500	0.019
3.3750	0.019
3.4000	0.019
3.4250	0.019
3.4500	0.019
3.4750	0.019
3.5000	0.019
3.5250	0.019
3.5500	0.019
3.5750	0.019
3.6000	0.019
3.6250	0.019
3.6500	0.019
3.6750	0.019
3.7000	0.019
3.7250	0.019
3.7500	0.019
3.7750	0.019
3.8000	0.019
3.8250	0.019
3.8500	0.019
3.8750	0.019
3.9000	0.019
3.9250	0.019
3.9500	0.019
3.9750	0.019
4.0000	0.019
4.0250	0.019
4.0500	0.019
4.0750	0.019
4.1000	0.019
4.1250	0.019
4.1500	0.019
4.1750	0.019
4.2000	0.019
4.2250	0.019
