#Linear Position. Run #14
#Time ( s )	Linear Position ( m )
0.0000	-1.720
0.0250	-1.757
0.0500	-1.757
0.0750	-1.794
0.1000	-1.832
0.1250	-1.869
0.1500	-1.907
0.1750	-1.907
0.2000	-1.907
0.2250	-1.944
0.2500	-1.944
0.2750	-1.944
0.3000	-1.981
0.3250	-1.981
0.3500	-1.981
0.3750	-1.981
0.4000	-1.981
0.4250	-1.981
0.4500	-1.981
0.4750	-1.981
0.5000	-1.981
0.5250	-1.981
0.5500	-1.981
0.5750	-1.981
0.6000	-1.981
0.6250	-1.944
0.6500	-1.907
0.6750	-1.869
0.7000	-1.869
0.7250	-1.794
0.7500	-1.757
0.7750	-1.720
0.8000	-1.682
0.8250	-1.608
0.8500	-1.533
0.8750	-1.458
0.9000	-1.421
0.9250	-1.346
0.9500	-1.308
0.9750	-1.271
1.0000	-1.196
1.0250	-1.159
1.0500	-1.084
1.0750	-1.047
1.1000	-1.009
1.1250	-0.935
1.1500	-0.860
1.1750	-0.822
1.2000	-0.748
1.2250	-0.673
1.2500	-0.636
1.2750	-0.598
1.3000	-0.561
1.3250	-0.523
1.3500	-0.523
1.3750	-0.523
1.4000	-0.486
1.4250	-0.486
1.4500	-0.449
1.4750	-0.449
1.5000	-0.449
1.5250	-0.411
1.5500	-0.411
1.5750	-0.411
1.6000	-0.411
1.6250	-0.411
1.6500	-0.411
1.6750	-0.411
1.7000	-0.411
1.7250	-0.411
1.7500	-0.411
1.7750	-0.411
1.8000	-0.449
1.8250	-0.486
1.8500	-0.486
1.8750	-0.523
1.9000	-0.561
1.9250	-0.598
1.9500	-0.636
1.9750	-0.673
2.0000	-0.710
2.0250	-0.748
2.0500	-0.822
2.0750	-0.860
2.1000	-0.935
2.1250	-1.009
2.1500	-1.084
2.1750	-1.122
2.2000	-1.159
2.2250	-1.234
2.2500	-1.271
2.2750	-1.308
2.3000	-1.383
2.3250	-1.421
2.3500	-1.495
2.3750	-1.570
2.4000	-1.608
2.4250	-1.645
2.4500	-1.720
2.4750	-1.757
2.5000	-1.757
2.5250	-1.794
2.5500	-1.832
2.5750	-1.869
2.6000	-1.869
2.6250	-1.907
2.6500	-1.907
2.6750	-1.944
2.7000	-1.944
2.7250	-1.944
2.7500	-1.944
2.7750	-1.981
2.8000	-1.981
2.8250	-1.981
2.8500	-1.981
2.8750	-1.981
2.9000	-1.981
2.9250	-1.981
2.9500	-1.981
2.9750	-1.981
3.0000	-1.981
3.0250	-1.981
3.0500	-1.944
3.0750	-1.944
3.1000	-1.907
3.1250	-1.907
3.1500	-1.869
3.1750	-1.832
3.2000	-1.794
3.2250	-1.757
3.2500	-1.682
3.2750	-1.608
3.3000	-1.570
3.3250	-1.495
3.3500	-1.421
3.3750	-1.383
3.4000	-1.346
3.4250	-1.271
3.4500	-1.234
3.4750	-1.196
3.5000	-1.159
3.5250	-1.084
3.5500	-1.047
3.5750	-0.972
3.6000	-0.897
3.6250	-0.822
3.6500	-0.785
3.6750	-0.710
3.7000	-0.673
3.7250	-0.636
3.7500	-0.598
3.7750	-0.561
3.8000	-0.561
3.8250	-0.523
3.8500	-0.523
3.8750	-0.523
3.9000	-0.486
3.9250	-0.449
3.9500	-0.449
3.9750	-0.449
4.0000	-0.449
4.0250	-0.449
4.0500	-0.449
4.0750	-0.411
4.1000	-0.411
4.1250	-0.411
4.1500	-0.411
4.1750	-0.411
4.2000	-0.411
4.2250	-0.411
4.2500	-0.449
4.2750	-0.486
4.3000	-0.523
4.3250	-0.561
4.3500	-0.561
4.3750	-0.598
4.4000	-0.636
4.4250	-0.673
4.4500	-0.710
4.4750	-0.785
4.5000	-0.822
4.5250	-0.897
4.5500	-0.935
4.5750	-0.972
4.6000	-1.047
4.6250	-1.122
4.6500	-1.196
4.6750	-1.234
4.7000	-1.308
4.7250	-1.346
4.7500	-1.421
4.7750	-1.458
4.8000	-1.495
4.8250	-1.533
4.8500	-1.570
4.8750	-1.645
4.9000	-1.682
4.9250	-1.720
4.9500	-1.794
4.9750	-1.794
5.0000	-1.832
5.0250	-1.869
5.0500	-1.907
5.0750	-1.907
5.1000	-1.907
5.1250	-1.907
5.1500	-1.944
5.1750	-1.981
5.2000	-1.981
5.2250	-1.981
5.2500	-1.981
5.2750	-1.981
5.3000	-1.981
5.3250	-1.981
5.3500	-1.981
5.3750	-1.981
5.4000	-1.981
5.4250	-1.981
5.4500	-1.981
5.4750	-1.981
5.5000	-1.944
5.5250	-1.907
5.5500	-1.907
5.5750	-1.869
5.6000	-1.832
5.6250	-1.794
5.6500	-1.757
5.6750	-1.720
5.7000	-1.645
5.7250	-1.570
5.7500	-1.495
5.7750	-1.421
5.8000	-1.383
5.8250	-1.346
5.8500	-1.308
5.8750	-1.271
5.9000	-1.196
5.9250	-1.159
5.9500	-1.084
5.9750	-1.047
6.0000	-0.972
6.0250	-0.897
6.0500	-0.822
6.0750	-0.785
6.1000	-0.710
6.1250	-0.673
6.1500	-0.598
6.1750	-0.561
6.2000	-0.561
6.2250	-0.523
6.2500	-0.523
6.2750	-0.523
6.3000	-0.486
6.3250	-0.486
6.3500	-0.449
6.3750	-0.449
6.4000	-0.449
6.4250	-0.449
6.4500	-0.411
6.4750	-0.411
