#Linear Position. Run #2
#Time ( s )	Linear Position ( m )
0.0000	-13.085
0.0250	-13.047
0.0500	-13.010
0.0750	-13.010
0.1000	-13.010
0.1250	-13.010
0.1500	-13.010
0.1750	-13.010
0.2000	-13.010
0.2250	-13.010
0.2500	-13.010
0.2750	-13.010
0.3000	-13.010
0.3250	-13.047
0.3500	-13.085
0.3750	-13.122
0.4000	-13.197
0.4250	-13.234
0.4500	-13.346
0.4750	-13.421
0.5000	-13.533
0.5250	-13.646
0.5500	-13.720
0.5750	-13.832
0.6000	-13.907
0.6250	-13.982
0.6500	-14.057
0.6750	-14.094
0.7000	-14.132
0.7250	-14.206
0.7500	-14.281
0.7750	-14.318
0.8000	-14.356
0.8250	-14.431
0.8500	-14.431
0.8750	-14.468
0.9000	-14.468
0.9250	-14.468
0.9500	-14.468
0.9750	-14.468
1.0000	-14.468
1.0250	-14.468
1.0500	-14.468
1.0750	-14.468
1.1000	-14.431
1.1250	-14.393
1.1500	-14.356
1.1750	-14.281
1.2000	-14.244
1.2250	-14.132
1.2500	-14.057
1.2750	-13.945
1.3000	-13.832
1.3250	-13.720
1.3500	-13.646
1.3750	-13.533
1.4000	-13.459
1.4250	-13.384
1.4500	-13.272
1.4750	-13.234
1.5000	-13.234
1.5250	-13.197
1.5500	-13.122
1.5750	-13.047
1.6000	-13.047
1.6250	-13.010
1.6500	-12.973
1.6750	-12.973
1.7000	-12.973
1.7250	-12.973
1.7500	-12.973
1.7750	-12.973
1.8000	-12.973
1.8250	-12.973
1.8500	-13.010
1.8750	-13.010
1.9000	-13.047
1.9250	-13.085
1.9500	-13.122
1.9750	-13.197
2.0000	-13.272
2.0250	-13.346
2.0500	-13.421
2.0750	-13.571
2.1000	-13.683
2.1250	-13.758
2.1500	-13.832
2.1750	-13.945
2.2000	-14.019
2.2250	-14.057
2.2500	-14.132
2.2750	-14.206
2.3000	-14.244
2.3250	-14.318
2.3500	-14.356
2.3750	-14.393
2.4000	-14.431
2.4250	-14.468
2.4500	-14.505
2.4750	-14.505
2.5000	-14.505
2.5250	-14.505
2.5500	-14.505
2.5750	-14.505
2.6000	-14.505
2.6250	-14.505
2.6500	-14.468
2.6750	-14.431
2.7000	-14.431
2.7250	-14.356
2.7500	-14.281
2.7750	-14.206
2.8000	-14.132
2.8250	-14.019
2.8500	-13.907
2.8750	-13.795
2.9000	-13.683
2.9250	-13.571
2.9500	-13.496
2.9750	-13.421
3.0000	-13.346
3.0250	-13.272
3.0500	-13.234
3.0750	-13.160
3.1000	-13.122
3.1250	-13.085
3.1500	-13.047
3.1750	-13.010
3.2000	-13.010
3.2250	-12.973
3.2500	-12.973
3.2750	-12.973
3.3000	-12.973
3.3250	-12.973
3.3500	-12.973
3.3750	-12.973
3.4000	-12.973
3.4250	-12.973
3.4500	-13.010
3.4750	-13.047
3.5000	-13.085
3.5250	-13.160
3.5500	-13.234
3.5750	-13.272
3.6000	-13.384
3.6250	-13.496
3.6500	-13.571
3.6750	-13.683
3.7000	-13.758
3.7250	-13.870
3.7500	-13.945
3.7750	-14.019
3.8000	-14.094
3.8250	-14.132
3.8500	-14.206
3.8750	-14.281
3.9000	-14.318
3.9250	-14.393
3.9500	-14.431
3.9750	-14.468
4.0000	-14.468
4.0250	-14.468
4.0500	-14.505
4.0750	-14.505
4.1000	-14.505
4.1250	-14.505
4.1500	-14.505
4.1750	-14.505
4.2000	-14.468
4.2250	-14.468
4.2500	-14.431
4.2750	-14.393
4.3000	-14.356
4.3250	-14.281
4.3500	-14.206
4.3750	-14.094
4.4000	-13.982
4.4250	-13.870
4.4500	-13.758
4.4750	-13.683
4.5000	-13.571
4.5250	-13.459
4.5500	-13.384
4.5750	-13.346
4.6000	-13.272
4.6250	-13.234
4.6500	-13.197
4.6750	-13.122
4.7000	-13.085
4.7250	-13.047
4.7500	-13.010
4.7750	-13.010
4.8000	-13.010
4.8250	-13.010
4.8500	-12.973
4.8750	-12.973
4.9000	-12.973
4.9250	-12.973
4.9500	-12.973
4.9750	-12.973
5.0000	-13.010
5.0250	-13.047
5.0500	-13.085
5.0750	-13.122
5.1000	-13.160
5.1250	-13.234
5.1500	-13.309
5.1750	-13.384
5.2000	-13.496
5.2250	-13.571
5.2500	-13.683
5.2750	-13.795
5.3000	-13.870
