#Linear Position. Run #18
#Time ( s )	Linear Position ( m )
0.0000	-10.206
0.0250	-9.421
0.0500	-6.991
0.0750	-3.439
0.1000	0.449
0.1250	3.888
0.1500	6.206
0.1750	6.879
0.2000	5.683
0.2250	2.991
0.2500	-0.673
0.2750	-4.598
0.3000	-7.888
0.3250	-9.907
0.3500	-10.131
0.3750	-8.561
0.4000	-5.570
0.4250	-1.757
0.4500	2.056
0.4750	5.122
0.5000	6.767
0.5250	6.580
0.5500	4.673
0.5750	1.421
0.6000	-2.467
0.6250	-6.206
0.6500	-9.010
0.6750	-10.243
0.7000	-9.645
0.7250	-7.402
0.7500	-3.925
0.7750	0.000
0.8000	3.589
0.8250	6.094
0.8500	6.916
0.8750	5.944
0.9000	3.365
0.9250	-0.262
0.9500	-4.187
0.9750	-7.627
1.0000	-9.832
1.0250	-10.243
1.0500	-8.823
1.0750	-5.944
1.1000	-2.168
1.1250	1.720
1.1500	4.897
1.1750	6.692
1.2000	6.729
1.2250	5.010
1.2500	1.869
1.2750	-1.981
1.3000	-5.832
1.3250	-8.785
1.3500	-10.206
1.3750	-9.832
1.4000	-7.701
1.4250	-4.337
1.4500	-0.411
1.4750	3.252
1.5000	5.869
1.5250	6.916
1.5500	6.169
1.5750	3.776
1.6000	0.187
1.6250	-3.776
1.6500	-7.327
1.6750	-9.683
1.7000	-10.318
1.7250	-9.122
1.7500	-6.393
1.7750	-2.654
1.8000	1.308
1.8250	4.636
1.8500	6.617
1.8750	6.879
1.9000	5.309
1.9250	2.318
1.9500	-1.533
1.9750	-5.421
2.0000	-8.524
2.0250	-10.169
2.0500	-9.982
2.0750	-8.038
2.1000	-4.785
2.1250	-0.860
2.1500	2.841
2.1750	5.645
2.2000	6.879
2.2250	6.318
2.2500	4.112
2.2750	0.673
2.3000	-3.290
2.3250	-6.954
2.3500	-9.458
2.3750	-10.318
2.4000	-9.309
2.4250	-6.729
2.4500	-3.066
2.4750	0.860
2.5000	4.262
2.5250	6.430
2.5500	6.916
2.5750	5.570
2.6000	2.729
2.6250	-1.009
2.6500	-4.935
2.6750	-8.187
2.7000	-10.019
2.7250	-10.094
2.7500	-8.337
2.7750	-5.197
2.8000	-1.383
2.8250	2.393
2.8500	5.346
2.8750	6.841
2.9000	6.505
2.9250	4.486
2.9500	1.159
2.9750	-2.804
3.0000	-6.542
3.0250	-9.234
3.0500	-10.318
3.0750	-9.608
3.1000	-7.215
3.1250	-3.701
3.1500	0.262
3.1750	3.813
3.2000	6.281
3.2250	7.028
3.2500	5.869
3.2750	3.178
3.3000	-0.523
3.3250	-4.486
3.3500	-7.888
3.3750	-9.944
3.4000	-10.243
3.4250	-8.748
3.4500	-5.795
3.4750	-1.944
3.5000	1.944
3.5250	5.084
3.5500	6.804
3.5750	6.729
3.6000	4.860
3.6250	1.645
3.6500	-2.280
3.6750	-6.094
3.7000	-9.047
3.7250	-10.356
3.7500	-9.832
3.7750	-7.589
3.8000	-4.112
3.8250	-0.075
3.8500	3.589
3.8750	6.131
3.9000	7.028
3.9250	6.131
3.9500	3.552
3.9750	-0.075
4.0000	-4.038
4.0250	-7.552
4.0500	-9.795
4.0750	-10.318
4.1000	-8.972
4.1250	-6.094
4.1500	-2.318
4.1750	1.608
4.2000	4.823
4.2250	6.692
4.2500	6.804
4.2750	5.084
4.3000	2.019
4.3250	-1.869
4.3500	-5.757
4.3750	-8.785
4.4000	-10.281
4.4250	-9.982
4.4500	-7.888
4.4750	-4.486
4.5000	-0.523
4.5250	3.178
4.5500	5.869
4.5750	6.991
4.6000	6.281
4.6250	3.925
4.6500	0.411
4.6750	-3.552
4.7000	-7.141
4.7250	-9.571
4.7500	-10.281
4.7750	-9.197
4.8000	-6.505
4.8250	-2.804
4.8500	1.084
4.8750	4.411
4.9000	6.468
4.9250	6.841
4.9500	5.383
4.9750	2.505
5.0000	-1.308
5.0250	-5.197
5.0500	-8.374
5.0750	-10.131
5.1000	-10.094
5.1250	-8.262
5.1500	-5.084
5.1750	-1.196
5.2000	2.580
5.2250	5.533
5.2500	6.916
5.2750	6.505
5.3000	4.374
5.3250	0.935
5.3500	-3.028
5.3750	-6.729
5.4000	-9.309
5.4250	-10.281
5.4500	-9.458
5.4750	-6.991
5.5000	-3.439
5.5250	0.486
5.5500	3.963
5.5750	6.281
5.6000	6.879
5.6250	5.683
5.6500	2.953
5.6750	-0.748
5.7000	-4.711
5.7250	-8.000
5.7500	-9.982
5.7750	-10.206
5.8000	-8.599
5.8250	-5.570
5.8500	-1.720
5.8750	2.131
5.9000	5.234
5.9250	6.841
5.9500	6.692
5.9750	4.748
6.0000	1.458
6.0250	-2.467
6.0500	-6.243
6.0750	-9.085
6.1000	-10.281
6.1250	-9.683
6.1500	-7.402
6.1750	-3.963
6.2000	0.000
6.2250	3.552
6.2500	6.056
6.2750	6.916
6.3000	5.982
6.3250	3.402
6.3500	-0.224
6.3750	-4.150
6.4000	-7.627
6.4250	-9.832
6.4500	-10.318
6.4750	-8.935
6.5000	-6.056
6.5250	-2.243
6.5500	1.645
6.5750	4.897
6.6000	6.729
6.6250	6.841
6.6500	5.122
6.6750	1.981
6.7000	-1.907
6.7250	-5.795
6.7500	-8.785
6.7750	-10.243
6.8000	-9.907
6.8250	-7.813
6.8500	-4.486
6.8750	-0.561
6.9000	3.103
6.9250	5.795
6.9500	6.916
6.9750	6.243
7.0000	3.851
7.0250	0.336
7.0500	-3.626
7.0750	-7.215
7.1000	-9.645
7.1250	-10.356
7.1500	-9.271
7.1750	-6.542
7.2000	-2.841
7.2250	1.159
7.2500	4.524
7.2750	6.617
7.3000	6.991
7.3250	5.496
7.3500	2.505
7.3750	-1.346
7.4000	-5.309
7.4250	-8.486
7.4500	-10.206
7.4750	-10.094
7.5000	-8.225
7.5250	-5.010
7.5500	-1.084
7.5750	2.692
7.6000	5.570
7.6250	6.954
