#Linear Position. Run #5
#Time ( s )	Linear Position ( m )
0.0000	17.683
0.0250	17.683
0.0500	17.683
0.0750	17.683
0.1000	17.683
0.1250	17.683
0.1500	17.683
0.1750	17.683
0.2000	17.683
0.2250	17.683
0.2500	17.683
0.2750	17.683
0.3000	17.683
0.3250	17.683
0.3500	17.683
0.3750	17.683
0.4000	17.683
0.4250	17.683
0.4500	17.683
0.4750	17.683
0.5000	17.683
0.5250	17.683
0.5500	17.683
0.5750	17.683
0.6000	17.683
0.6250	17.683
0.6500	17.683
0.6750	17.683
0.7000	17.683
0.7250	17.683
0.7500	17.683
0.7750	17.683
0.8000	17.683
0.8250	17.683
0.8500	17.683
0.8750	17.683
0.9000	17.683
0.9250	17.683
0.9500	17.683
0.9750	17.683
1.0000	17.683
1.0250	17.683
1.0500	17.683
1.0750	17.683
1.1000	17.683
1.1250	17.683
1.1500	17.683
1.1750	17.683
1.2000	17.683
1.2250	17.683
1.2500	17.683
1.2750	17.683
1.3000	17.683
1.3250	17.683
1.3500	17.683
1.3750	17.683
1.4000	17.683
1.4250	17.683
1.4500	17.683
1.4750	17.683
1.5000	17.683
1.5250	17.683
1.5500	17.683
1.5750	17.683
1.6000	17.683
1.6250	17.683
1.6500	17.683
1.6750	17.683
1.7000	17.683
1.7250	17.683
1.7500	17.683
1.7750	17.683
1.8000	17.683
1.8250	17.683
1.8500	17.683
1.8750	17.683
1.9000	17.683
1.9250	17.683
1.9500	17.683
1.9750	17.683
2.0000	17.683
2.0250	17.683
2.0500	17.683
2.0750	17.683
2.1000	17.683
2.1250	17.683
2.1500	17.683
2.1750	17.683
2.2000	17.683
2.2250	17.683
2.2500	17.683
2.2750	17.683
2.3000	17.683
2.3250	17.683
2.3500	17.683
2.3750	17.683
2.4000	17.683
2.4250	17.683
2.4500	17.683
2.4750	17.683
2.5000	17.683
2.5250	17.683
2.5500	17.683
2.5750	17.683
2.6000	17.683
2.6250	17.683
2.6500	17.683
2.6750	17.683
2.7000	17.683
2.7250	17.683
2.7500	17.683
2.7750	17.683
2.8000	17.683
2.8250	17.683
2.8500	17.683
2.8750	17.683
2.9000	17.683
2.9250	17.683
2.9500	17.683
2.9750	17.683
3.0000	17.683
3.0250	17.683
3.0500	17.683
3.0750	17.683
3.1000	17.683
3.1250	17.683
3.1500	17.683
3.1750	17.683
3.2000	17.683
3.2250	17.683
3.2500	17.683
3.2750	17.683
3.3000	17.683
3.3250	17.683
3.3500	17.683
3.3750	17.683
3.4000	17.683
3.4250	17.683
3.4500	17.683
3.4750	17.683
3.5000	17.683
3.5250	17.683
3.5500	17.683
3.5750	17.683
3.6000	17.683
3.6250	17.683
3.6500	17.683
3.6750	17.683
3.7000	17.683
3.7250	17.683
3.7500	17.683
3.7750	17.683
3.8000	17.683
3.8250	17.683
3.8500	17.683
3.8750	17.683
3.9000	17.683
3.9250	17.683
3.9500	17.683
3.9750	17.683
4.0000	17.683
4.0250	17.683
4.0500	17.683
4.0750	17.683
4.1000	17.683
4.1250	17.683
4.1500	17.683
4.1750	17.683
4.2000	17.683
4.2250	17.683
4.2500	17.683
4.2750	17.683
4.3000	17.683
4.3250	17.683
4.3500	17.683
4.3750	17.683
4.4000	17.683
4.4250	17.683
4.4500	17.683
4.4750	17.683
4.5000	17.683
4.5250	17.683
4.5500	17.683
4.5750	17.683
4.6000	17.683
4.6250	17.683
4.6500	17.683
4.6750	17.683
4.7000	17.683
4.7250	17.683
4.7500	17.683
4.7750	17.683
4.8000	17.683
4.8250	17.683
4.8500	17.683
4.8750	17.683
4.9000	17.683
4.9250	17.683
4.9500	17.683
4.9750	17.683
5.0000	17.683
5.0250	17.683
5.0500	17.683
5.0750	17.683
5.1000	17.683
5.1250	17.683
5.1500	17.683
5.1750	17.683
5.2000	17.683
5.2250	17.683
5.2500	17.683
5.2750	17.683
5.3000	17.683
5.3250	17.683
5.3500	17.683
5.3750	17.683
5.4000	17.683
5.4250	17.683
5.4500	17.683
5.4750	17.683
5.5000	17.683
5.5250	17.683
5.5500	17.683
5.5750	17.683
5.6000	17.683
5.6250	17.683
5.6500	17.683
5.6750	17.683
5.7000	17.683
5.7250	17.683
5.7500	17.683
5.7750	17.683
5.8000	17.683
5.8250	17.683
5.8500	17.683
5.8750	17.683
5.9000	17.683
5.9250	17.683
5.9500	17.683
5.9750	17.683
6.0000	17.683
6.0250	17.683
6.0500	17.683
6.0750	17.683
6.1000	17.683
6.1250	17.683
6.1500	17.683
6.1750	17.683
6.2000	17.683
6.2250	17.683
6.2500	17.683
6.2750	17.683
6.3000	17.683
6.3250	17.683
6.3500	17.683
6.3750	17.683
6.4000	17.683
6.4250	17.683
6.4500	17.683
6.4750	17.683
6.5000	17.683
6.5250	17.683
6.5500	17.683
6.5750	17.683
6.6000	17.683
6.6250	17.683
6.6500	17.683
6.6750	17.683
6.7000	17.683
6.7250	17.683
6.7500	17.683
6.7750	17.683
6.8000	17.683
6.8250	17.683
6.8500	17.683
6.8750	17.683
6.9000	17.683
6.9250	17.683
6.9500	17.683
6.9750	17.683
7.0000	17.683
7.0250	17.683
7.0500	17.683
7.0750	17.683
