#Linear Position. Run #5
#Time ( s )	Linear Position ( m )
0.0000	-11.664
0.0250	-11.552
0.0500	-11.589
0.0750	-11.776
0.1000	-12.075
0.1250	-12.449
0.1500	-12.935
0.1750	-13.384
0.2000	-13.870
0.2250	-14.281
0.2500	-14.580
0.2750	-14.767
0.3000	-14.767
0.3250	-14.618
0.3500	-14.318
0.3750	-14.019
0.4000	-13.608
0.4250	-13.122
0.4500	-12.674
0.4750	-12.262
0.5000	-11.888
0.5250	-11.664
0.5500	-11.589
0.5750	-11.589
0.6000	-11.776
0.6250	-12.113
0.6500	-12.561
0.6750	-13.010
0.7000	-13.496
0.7250	-13.982
0.7500	-14.393
0.7750	-14.655
0.8000	-14.804
0.8250	-14.767
0.8500	-14.580
0.8750	-14.281
0.9000	-13.945
0.9250	-13.533
0.9500	-13.047
0.9750	-12.599
1.0000	-12.150
1.0250	-11.814
1.0500	-11.589
1.0750	-11.552
1.1000	-11.589
1.1250	-11.814
1.1500	-12.188
1.1750	-12.599
1.2000	-13.085
1.2250	-13.571
1.2500	-14.057
1.2750	-14.431
1.3000	-14.730
1.3250	-14.842
1.3500	-14.767
1.3750	-14.543
1.4000	-14.244
1.4250	-13.832
1.4500	-13.384
1.4750	-12.898
1.5000	-12.487
1.5250	-12.075
1.5500	-11.739
1.5750	-11.552
1.6000	-11.552
1.6250	-11.664
1.6500	-11.926
1.6750	-12.262
1.7000	-12.711
1.7250	-13.197
1.7500	-13.720
1.7750	-14.169
1.8000	-14.505
1.8250	-14.767
1.8500	-14.804
1.8750	-14.730
1.9000	-14.543
1.9250	-14.244
1.9500	-13.832
1.9750	-13.346
2.0000	-12.823
2.0250	-12.374
2.0500	-11.926
2.0750	-11.627
2.1000	-11.440
2.1250	-11.440
2.1500	-11.589
2.1750	-11.888
2.2000	-12.337
2.2250	-12.823
2.2500	-13.346
2.2750	-13.832
2.3000	-14.318
2.3250	-14.655
2.3500	-14.879
2.3750	-14.917
2.4000	-14.767
2.4250	-14.505
2.4500	-14.132
2.4750	-13.683
2.5000	-13.197
2.5250	-12.674
2.5500	-12.225
2.5750	-11.814
2.6000	-11.589
2.6250	-11.477
2.6500	-11.515
2.6750	-11.702
2.7000	-12.001
2.7250	-12.449
2.7500	-12.935
2.7750	-13.421
2.8000	-13.907
2.8250	-14.318
2.8500	-14.655
2.8750	-14.804
2.9000	-14.804
2.9250	-14.655
2.9500	-14.393
2.9750	-14.057
3.0000	-13.608
3.0250	-13.160
3.0500	-12.711
3.0750	-12.225
3.1000	-11.851
3.1250	-11.627
3.1500	-11.515
3.1750	-11.552
3.2000	-11.739
3.2250	-12.075
3.2500	-12.449
