#Linear Position. Run #1
#Time ( s )	Linear Position ( m )
0.0000	6.879
0.0250	6.879
0.0500	6.879
0.0750	6.879
0.1000	6.879
0.1250	6.879
0.1500	6.879
0.1750	6.879
0.2000	6.879
0.2250	6.879
0.2500	6.879
0.2750	6.879
0.3000	6.879
0.3250	6.879
0.3500	6.879
0.3750	6.879
0.4000	6.879
0.4250	6.879
0.4500	6.879
0.4750	6.879
0.5000	6.879
0.5250	6.879
0.5500	6.879
0.5750	6.879
0.6000	6.879
0.6250	6.879
0.6500	6.879
0.6750	6.879
0.7000	6.879
0.7250	6.879
0.7500	6.879
0.7750	6.879
0.8000	6.879
0.8250	6.879
0.8500	6.879
0.8750	6.879
0.9000	6.879
0.9250	6.879
0.9500	6.879
0.9750	6.879
1.0000	6.879
1.0250	6.879
1.0500	6.879
1.0750	6.879
1.1000	6.879
1.1250	6.879
1.1500	6.879
1.1750	6.879
1.2000	6.879
1.2250	6.879
1.2500	6.879
1.2750	6.879
1.3000	6.879
1.3250	6.879
1.3500	6.879
1.3750	6.879
1.4000	6.879
1.4250	6.879
1.4500	6.879
1.4750	6.879
1.5000	6.879
1.5250	6.879
1.5500	6.879
1.5750	6.879
1.6000	6.879
1.6250	6.879
1.6500	6.879
1.6750	6.879
1.7000	6.879
1.7250	6.879
1.7500	6.879
1.7750	6.879
1.8000	6.879
1.8250	6.879
1.8500	6.879
1.8750	6.879
1.9000	6.879
1.9250	6.879
1.9500	6.879
1.9750	6.879
2.0000	6.879
2.0250	6.879
2.0500	6.879
2.0750	6.879
2.1000	6.879
2.1250	6.879
2.1500	6.879
2.1750	6.879
2.2000	6.879
2.2250	6.879
2.2500	6.954
2.2750	6.879
2.3000	6.841
2.3250	6.767
2.3500	6.841
2.3750	6.879
2.4000	6.916
2.4250	6.841
2.4500	6.841
2.4750	6.841
2.5000	6.916
2.5250	6.916
2.5500	6.916
2.5750	6.916
2.6000	6.916
2.6250	6.879
2.6500	6.879
2.6750	6.916
2.7000	6.916
